word;D20181937.txt;D20181950.txt;Artyku³Sportowy2.txt;Artyku³Sportowy1.txt
administracja;0.0;5.418539921951662;0.0;0.0
akt;0.6020599913279624;0.0;0.0;0.0
akurat;0.0;0.0;0.0;0.6020599913279624
arta;4.214419939295737;0.0;0.0;0.0
asysta;0.0;0.0;0.0;0.6020599913279624
barcelona;0.0;0.0;0.6020599913279624;0.0
barcelony;0.0;0.0;0.6020599913279624;0.0
bartkowski;0.0;0.0;0.0;0.6020599913279624
barwa;0.0;0.0;0.0;0.6020599913279624
bezosobowy;0.0;1.2041199826559248;0.0;0.0
bie¿eæ;0.0;1.2041199826559248;0.0;0.0
boguski;0.0;0.0;0.0;0.6020599913279624
boisko;0.0;0.0;0.0;1.2041199826559248
broniæ;0.0;0.0;0.0;0.6020599913279624
bro¿ek;0.0;0.0;0.0;3.010299956639812
brzmienie;0.6020599913279624;0.0;0.0;0.0
budownictwo;0.0;2.4082399653118496;0.0;0.0
bud¿et;0.0;4.214419939295737;0.0;0.0
bud¿etowy;0.0;0.6020599913279624;0.0;0.0
burliga;0.0;0.0;0.0;0.6020599913279624
bycie;0.0;0.0;0.0;0.6020599913279624
byæ;0.0;0.0;0.0;0.6020599913279624
b³aszczykowski;0.0;0.0;0.0;3.010299956639812
ca³oœæ;0.0;0.0;0.0;0.6020599913279624
centralne;0.0;2.4082399653118496;0.0;0.0
chaos;0.0;0.0;0.0;0.6020599913279624
chcieæ;0.0;0.0;0.0;0.6020599913279624
chodziæ;0.0;0.0;0.3010299956639812;0.3010299956639812
chorwat;0.0;0.0;0.0;0.6020599913279624
choæ;0.0;0.0;0.0;1.2041199826559248
cieszyæ;0.0;0.0;0.0;0.6020599913279624
ci¹gn¹æ;0.0;0.0;0.6020599913279624;0.0
cyfryzacja;0.0;0.6020599913279624;0.0;0.0
cywilny;0.0;2.4082399653118496;0.0;0.0
czas;0.0;0.0;0.0;1.2041199826559248
czekaæ;0.0;0.0;0.0;3.010299956639812
czerwiec;1.806179973983887;0.0;0.0;0.0
cztery;0.0;0.0;0.0;1.806179973983887
czwartek;0.0;0.0;0.0;0.6020599913279624
