a,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,gisis,la,heses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,i,natomiast,oraz,tudzież,zaś,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abaja,sukmana,płaszcz,okrycie,burka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abakus,abak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abakus,liczydło,maszyna licząca,arytmometr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abażur,ampla,klosz,osłona,lampion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,abc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,abecadło,alfabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abderyta,głupiec,ignorant,głuptas,nieuk,laik,ciemniak,głupek,pacan,głupi,kałmuk,półgłówek,przygłupek,przygłup,kiep,prostak,ćwok,leming,,,,,,,,,,,,,,,,,,
abdominalny,brzuszny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdykacja,rezygnacja,dymisja,zrzeczenie się,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdykować,zrzekać się,rezygnować,wyrzekać się,zrzec się,zrezygnować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abecadło,alfabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abecadło,ABC,alfabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberracja,anomalia,nieprawidłowość,wada,odchylenie,niepoprawność,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberracyjny,anormalny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiogeneza,samorództwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiogenny,samorodny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiotyczny,nieożywiony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abisal,abysal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abisal,strefa głębinowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiturient,maturzysta,wychowanek,absolwent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiturientka,maturzystka,absolwentka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablativus,ablatiwus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablativus,ablatyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablatyw,ablativus,ablatiwus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablegat,wysłannik,delegat,posłaniec,poseł,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablucja,obmyć,kąpiel,polewać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abnegacja,pozbawienie się,rezygnacja,odrzucenie,wyrzeczenie się,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abnegacja,niedbalstwo,tumiwisizm,zaniedbanie się,niedbanie o siebie,niechlujstwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abnegat,świntuch,brudas,flejtuch,niechluj,smoluch,fleja,kocmołuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abolicja,dymisjonować,skasować,zniesienie,rewokacja,dymisja,zdjęcie,zwolnienie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abominacja,odraza,odium,obrzydzenie,niechęć,wstręt,antypatia,awersja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abonament,prenumerata,subskrypcja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abonent,prenumerator,subskrybent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abonować,prenumerować,subskrybować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aborcja,przerwanie ciąży,skrobanka,spędzenie płodu,usunięcie ciąży,zabieg usunięcia ciąży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aborygen,tubylec,mieszkaniec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcybiskup,biskup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absces,ropień,furunkuł,wrzód,czyrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absencja,nieobecność,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absencja,brak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absmak,niesmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absmak,zdegustować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolucja,odpuszczenie,rozgrzeszenie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolut,byt wieczny,byt samoistny,byt absolutny,byt doskonały,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutnie,autokratycznie,despotycznie,apodyktycznie,niepodzielnie,samowładnie,władczo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutnie,kompletnie,do głębi,w pełni,pod każdym względem,w każdym calu,w całości,zupełnie,totalnie,całkowicie,w ogóle,wcale,,,,,,,,,,,,,,,,,,,,,,,,
absolutny,całkowity,zupełny,bezwzględny,bezwyjątkowy,kompletny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutny,wieczny,samoistny,bezwzględny,bezwyjątkowy,niezależny,wszechstronny,nieograniczony,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutny,autokratyczny,despotyczny,dyktatorski,totalny,apodyktyczny,niepodzielny,samowładny,władczy,nieograniczony,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutyzm,władza absolutna,monarchia absolutna,autokracja,autarchia,samowładztwo,autokratyzm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolwent,wychowanek,abiturient,uczeń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorbent,pochłaniacz,substancja pochłaniająca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorber,aparat absorpcyjny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorbować,frapować,pochłaniać,zajmować,zaprzątać,intrygować,fascynować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorbować,wchłaniać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorpcja,wchłanianie,pochłaniać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorpcyjny,pochłaniać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abstrahować,pomijać,nie brać pod uwagę,nie uwzględniać,nie zważać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abstrahując od,pomijać,niezależnie od,nie zważając na,z wyjątkiem,nie licząc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
