S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
abak;abakus;;;;;;;;;;;;;;;;;
abat;opat;;;;;;;;;;;;;;;;;
aba¿ur;klosz;lampion;;;;;;;;;;;;;;;;
ABC;abecad³o;alfabet;;;;;;;;;;;;;;;;
abderyta;g³upek;g³upi;g³upiec;g³uptas;ignorant;kiep;laik;niem¹dry;pacan;przyg³up;przyg³upek;;;;;;;
abdominalny;brzuszny;;;;;;;;;;;;;;;;;
abdykacja;dymisja;rezygnacja;zrzeczenie siê;;;;;;;;;;;;;;;
abdykowaæ;rezygnowaæ;wyrzekaæ siê;zrzekaæ siê;;;;;;;;;;;;;;;
aberracja;anomalia;niepoprawnoœæ;nieprawid³owoœæ;odchylenie;;;;;;;;;;;;;;
abiogeneza;samorództwo;;;;;;;;;;;;;;;;;
abiogenny;samorodny;;;;;;;;;;;;;;;;;
abiotyczny;nieo¿ywiony;;;;;;;;;;;;;;;;;
abisal;abysal;strefa g³êbinowa;;;;;;;;;;;;;;;;
abiturientka;maturzystka;;;;;;;;;;;;;;;;;
abiturient;maturzysta;;;;;;;;;;;;;;;;;
ablativus;ablatiwus;;;;;;;;;;;;;;;;;
ablucja;k¹piel;;;;;;;;;;;;;;;;;
ablucja;obmycie;polewanie;;;;;;;;;;;;;;;;
abnegacja;niechlujstwo;tumiwisizm;;;;;;;;;;;;;;;;
abnegat;brudas;fleja;flejtuch;kocmo³uch;niechluj;smoluch;œwintuch;;;;;;;;;;;
abolicja;dymisja;dymisjonowanie;odwo³anie;uniewa¿nienie;zdjêcie;zniesienie;zwolnienie;;;;;;;;;;;
abolicja;skasowanie;zniesienie;;;;;;;;;;;;;;;;
abominacja;awersja;obrzydzenie;odium;odraza;wstrêt;;;;;;;;;;;;;
abonament;prenumerata;subskrypcja;;;;;;;;;;;;;;;;
abonent;prenumerator;subskrybent;;;;;;;;;;;;;;;;
abonowaæ;prenumerowaæ;subskrybowaæ;;;;;;;;;;;;;;;;
aborcja;przerwanie ci¹¿y;skrobanka;spêdzenie p³odu;usuniêcie ci¹¿y;;;;;;;;;;;;;;
absces;ropieñ;wrzód;;;;;;;;;;;;;;;;
absencja;brak;nieobecnoœæ;;;;;;;;;;;;;;;;
absmak;niesmak;zdegustowanie;;;;;;;;;;;;;;;;
absolucja;odpuszczenie;rozgrzeszenie;;;;;;;;;;;;;;;;
absolut;byt absolutny;byt doskona³y;byt ograniczony;byt samoistny;byt wieczny;;;;;;;;;;;;;
absolutnie;ca³kiem;ca³kowicie;do g³êbi;doskonale;gruntownie;kompletnie;na cacy;na wskroœ;pod ka¿dym wzglêdem;totalnie;w ca³oœci;w ka¿dym calu;w pe³ni;zgo³a;zupe³nie;;;
absolutny;autokratyczny;samow³adczy;samow³adny;;;;;;;;;;;;;;;
absolutny;bezdyskusyjny;bezsporny;bezsprzeczny;jednoznaczny;niekwestionowany;nieodparty;niepodwa¿alny;niew¹tpliwy;niezaprzeczalny;niezbity;rozumiej¹cy siê sam przez siê;;;;;;;
absolutyzm;monarchia absolutna;w³adza absolutna;;;;;;;;;;;;;;;;
absolwent;wychowanek;;;;;;;;;;;;;;;;;
absorbent;poch³aniacz;substancja poch³aniaj¹ca;;;;;;;;;;;;;;;;
absorber;aparat absorpcyjny;;;;;;;;;;;;;;;;;
absorbowaæ;asymilowaæ;przyswajaæ;wch³aniaæ;;;;;;;;;;;;;;;
absorbowaæ;frapowaæ;poch³aniaæ;zajmowaæ;zaprz¹taæ;;;;;;;;;;;;;;
absorbuj¹cy;ch³onny;wch³aniaj¹cy;;;;;;;;;;;;;;;;
absorpcja;poch³anianie;wch³anianie;;;;;;;;;;;;;;;;
absorpcyjny;poch³aniaj¹cy;;;;;;;;;;;;;;;;;
